,MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
1852,1577957400000,7161.6,7161.6,7161.6,7161.6,0.0019
1853,1577957460000,7161.5,7158.3,7161.5,7158.3,1.73018288
1854,1577957520000,7158.4,7158.4,7158.4,7158.3,0.0464
1855,1577957580000,7158.3,7158.3,7158.3,7158.3,0.0135338
1856,1577957640000,7158.3,7158.4,7158.4,7158.3,0.02744067
1857,1577957700000,7158.3,7158.4,7158.4,7158.3,0.01
1858,1577957760000,7158.3,7158.3,7158.3,7158.3,0.04095755
1859,1577957820000,7158.4,7158.34316704,7158.4,7158.3,0.5577
1860,1577958000000,7158.4,7158.4,7158.4,7158.4,2.01029531
1861,1577958120000,7158.4,7158.3682704,7158.4,7158.3682704,0.05499999999999999
1862,1577958180000,7158.39842369,7158.39842369,7158.39842369,7158.39842369,0.01
1863,1577958240000,7158.33874032,7158.33874032,7158.33874032,7158.33874032,0.00289848
1864,1577958300000,7158.4,7158.9,7158.9,7158.4,1.625
1865,1577958360000,7158.9,7158.9,7158.9,7158.9,0.005
1866,1577958420000,7162.2,7161.8,7162.2,7161.8,0.02561052
1867,1577958480000,7161.7162584,7161.8,7161.8,7161.7162584,0.68350128
1868,1577958540000,7161.76239501,7162.3,7162.3,7161.76239501,0.08249454
1869,1577958600000,7162.8,7162.8,7162.8,7162.8,0.06277587
1870,1577958660000,7162.77088876,7162.77088876,7162.77088876,7162.77088876,0.06744421
1871,1577958720000,7162.79440149,7166.4,7166.4,7162.77088876,0.050021
1872,1577958780000,7166.4,7166.4,7166.4,7166.4,0.010017
1873,1577958840000,7166.54342735,7166.6,7166.6,7166.54342735,0.10316924
1874,1577958900000,7166.6,7169.7,7169.7,7166.6,0.0318637
1875,1577958960000,7169.7,7169.7,7169.7,7169.7,0.028
1876,1577959020000,7169.7,7169.7,7169.7,7169.7,0.10151257
1877,1577959080000,7169.7,7178.5,7178.5,7169.6,1.96771392
1878,1577959140000,7178.4501945,7178.5,7178.5,7178.4,1.15540578
1879,1577959200000,7178.4,7178.5,7178.5,7178.4,0.69941256
1880,1577959260000,7178.5,7178.5,7178.5,7178.5,0.009600000000000001
1881,1577959320000,7178.5,7178.4501945,7178.5,7178.4501945,0.853668
1882,1577959380000,7178.5,7178.5,7178.5,7178.4,0.72507886
1883,1577959440000,7178.4,7178.4887656,7178.4887656,7178.4,0.015
1884,1577959500000,7178.5,7178.5,7178.5,7178.5,0.01
1885,1577959560000,7178.5,7178.5,7178.5,7178.5,0.014241
1886,1577959620000,7178.4,7178.5,7178.5,7178.4,0.035
1887,1577959680000,7178.4,7178.4,7178.4,7178.4,1.03124233
1888,1577959740000,7178.5,7178.5,7178.5,7178.4,0.01405262
1889,1577959800000,7178.5,7189.2,7190.3,7178.5,6.44067814
1890,1577959860000,7189.11564516,7181.6,7189.2,7181.3,2.73783097
1891,1577959920000,7181.6,7190.8,7190.8,7181.6,4.789153649999999
1892,1577959980000,7190.72624189,7190.6,7190.79602561,7190.6,0.9133453
1893,1577960040000,7190.5,7190.5,7190.5,7190.4,0.40452352999999996
1894,1577960100000,7190.4399727,7190.4399727,7190.4399727,7190.4,0.2253
1895,1577960160000,7190.4399727,7183.7335868,7190.4399727,7183.7,0.45572574
1896,1577960220000,7183.7,7183.7,7183.70421464,7183.7,0.018000000000000002
1897,1577960280000,7183.7,7182.4,7183.7,7181.6,1.46650001
1898,1577960340000,7182.4,7182.5,7182.5,7182.4,2.166845
1899,1577960400000,7182.5,7184.7,7184.7,7182.4738752,0.044494
